,X1,event.times,longitude,latitude,altitude,heart.rate,breathing.rate,activity,peak.acceleration,original
1,1,12:53:01,149.39611,-35.56714,905,195,19,0.09,0.55,real-sensor
2,2,12:53:00,149.39611,-35.56714,905,197,20,0.08,0.39,real-sensor
3,3,12:53:02,149.39611,-35.56714,905,182,19,0.15,0.74,real-sensor
4,4,12:53:03,149.39611,-35.56714,905,175,19,0.09,0.27,real-sensor
5,5,12:53:04,149.39611,-35.56714,905,172,19,0.08,0.15,real-sensor
6,6,12:53:05,149.39611,-35.56714,905,173,19,0.08,0.33,real-sensor
7,7,12:53:06,149.39611,-35.56714,905,173,19,0.08,0.15,real-sensor
8,8,12:53:07,149.39611,-35.56714,905,173,18,0.05,0.09,real-sensor
9,9,12:53:08,149.39611,-35.56714,905,172,18,0.03,0.09,real-sensor
10,10,12:53:09,149.39611,-35.56714,905,170,18,0.03,0.3,real-sensor
11,11,12:53:10,149.39611,-35.56714,905,168,18,0.07,0.21,real-sensor
12,12,12:53:11,149.39611,-35.56714,905,164,18,0.11,0.15,real-sensor
13,13,12:53:12,149.39611,-35.56714,905,160,18,0.07,0.14,real-sensor
14,14,12:53:13,149.39611,-35.56714,905,155,18,0.06,0.3,real-sensor
15,15,12:53:14,149.39611,-35.56714,905,152,18,0.07,0.32,real-sensor
16,16,12:53:15,149.39611,-35.56714,905,147,17,0.09,0.27,real-sensor
17,17,12:53:16,149.39611,-35.56714,905,147,17,0.07,0.19,real-sensor
18,18,12:53:17,149.39611,-35.56714,905,146,17,0.06,0.57,real-sensor
19,19,12:53:18,149.39611,-35.56714,905,147,17,0.07,0.31,real-sensor
20,20,12:53:19,149.39611,-35.56714,905,150,17,0.09,0.57,real-sensor
21,21,12:53:20,149.39611,-35.56714,905,151,17,0.13,2.04,real-sensor
22,22,12:53:21,149.39611,-35.56714,905,151,17,0.41,2,real-sensor
23,23,12:53:22,149.39611,-35.56714,905,151,17,0.45,0.68,real-sensor
24,24,12:53:23,149.3961,-35.56715,905,151,16,0.19,0.37,real-sensor
25,25,12:53:24,149.3961,-35.56715,905,160,16,0.14,0.24,real-sensor
26,26,12:53:25,149.3961,-35.56714,905,166,16,0.12,0.2,real-sensor
27,27,12:53:26,149.3961,-35.56714,905,165,16,0.09,0.2,real-sensor
28,28,12:53:27,149.3961,-35.56714,905,161,16,0.08,0.19,real-sensor
29,29,12:53:28,149.3961,-35.56714,905,159,16,0.07,0.14,real-sensor
30,30,12:53:29,149.3961,-35.56714,905,156,16,0.06,0.19,real-sensor
31,31,12:53:30,149.3961,-35.56714,905,152,16,0.05,0.18,real-sensor
32,32,12:53:31,149.3961,-35.56714,905,146,16,0.04,0.22,real-sensor
33,33,12:53:32,149.3961,-35.56714,905,141,16,0.07,0.15,real-sensor
34,34,12:53:33,149.3961,-35.56714,905,137,15,0.05,0.3,real-sensor
35,35,12:53:34,149.3961,-35.56714,905,136,15,0.05,0.12,real-sensor
36,36,12:53:35,149.3961,-35.56714,905,137,15,0.04,0.09,real-sensor
37,37,12:53:36,149.3961,-35.56714,905,141,15,0.06,0.57,real-sensor
38,38,12:53:37,149.3961,-35.56714,905,141,15,0.09,0.09,real-sensor
39,39,12:53:38,149.3961,-35.56714,905,144,15,0.04,0.14,real-sensor
40,40,12:53:39,149.3961,-35.56714,905,147,14,0.04,0.08,real-sensor
41,41,12:53:40,149.3961,-35.56714,905,144,14,0.05,0.48,real-sensor
42,42,12:53:41,149.3961,-35.56714,905,140,14,0.08,0.14,real-sensor
43,43,12:53:42,149.3961,-35.56714,905,143,14,0.06,0.14,real-sensor
44,44,12:53:43,149.3961,-35.56714,905,144,14,0.05,0.15,real-sensor
45,45,12:53:44,149.3961,-35.56714,905,145,14,0.05,0.36,real-sensor
46,46,12:53:45,149.3961,-35.56714,905,144,13,0.07,0.27,real-sensor
47,47,12:53:46,149.3961,-35.56714,905,141,13,0.08,0.18,real-sensor
48,48,12:53:47,149.3961,-35.56714,905,140,13,0.06,0.09,real-sensor
49,49,12:53:48,149.3961,-35.56714,905,138,13,0.06,0.2,real-sensor
50,50,12:53:49,149.3961,-35.56714,905,134,13,0.07,0.16,real-sensor
51,51,12:53:50,149.3961,-35.56714,905,131,13,0.07,0.44,real-sensor
52,52,12:53:51,149.3961,-35.56714,905,130,13,0.09,0.2,real-sensor
53,53,12:53:52,149.3961,-35.56714,905,135,13,0.07,0.26,real-sensor
